date,고흥·녹동항,당진·삽교호,부산·광안리
2025-03-28,0.01278,0.00958,0.63659
2025-03-29,0.02364,0.01981,2.82951
2025-03-30,0.01533,0.01917,0.46466
2025-03-31,0.02173,0.0115,0.38093
2025-04-01,0.02364,0.00958,0.35153
2025-04-02,0.04857,0.01214,0.42886
2025-04-03,0.04154,0.01917,0.4506
2025-04-04,0.04665,0.01917,0.64362
2025-04-05,0.06263,0.02492,3.65082
2025-04-06,0.03643,0.03067,0.59888
2025-04-07,0.05113,0.0377,0.45251
2025-04-08,0.05432,0.05113,0.43781
2025-04-09,0.05113,0.04985,0.44229
2025-04-10,0.09331,0.05432,0.48383
2025-04-11,0.11057,0.09778,0.751
2025-04-12,0.13038,0.05816,1.26423
2025-04-13,0.04474,0.04793,0.49342
2025-04-14,0.06263,0.07669,0.44676
2025-04-15,0.05432,0.08884,0.49981
2025-04-16,0.03067,0.08564,0.48319
2025-04-17,0.04154,0.09139,0.54838
2025-04-18,0.08117,0.11376,0.86668
2025-04-19,0.26716,0.32788,4.03494
2025-04-20,0.09139,0.24798,0.68516
2025-04-21,0.06774,0.08245,0.55925
2025-04-22,0.04665,0.05113,0.54391
2025-04-23,0.04665,0.06966,0.50301
2025-04-24,0.04474,0.09778,0.60719
2025-04-25,0.147,0.4001,0.95424
2025-04-26,0.24351,1.11211,4.00938
2025-04-27,0.03962,0.30103,0.91973
2025-04-28,0.07094,0.11824,0.73757
2025-04-29,0.05113,0.25565,0.76378
2025-04-30,0.0703,0.2352,0.7919
2025-05-01,0.07541,0.13741,1.00282
2025-05-02,0.1585,0.17257,1.75957
2025-05-03,0.64106,0.70817,7.81615
2025-05-04,0.19174,0.20452,2.31371
2025-05-05,0.06263,0.23009,0.94338
2025-05-06,0.03259,0.39755,0.56181
2025-05-07,0.04857,0.3119,0.60335
2025-05-08,0.03451,0.12719,0.56117
2025-05-09,0.05624,0.14444,0.75994
2025-05-10,0.19302,0.53496,3.74349
2025-05-11,0.02876,0.1029,0.80532
2025-05-12,0.03579,0.10354,0.627
2025-05-13,0.03962,0.09075,0.55286
2025-05-14,0.02876,0.07733,0.52346
2025-05-15,0.0409,0.1176,0.51451
2025-05-16,0.04474,0.15786,0.66151
2025-05-17,0.18982,0.99835,3.79846
2025-05-18,0.03195,0.12016,0.71968
2025-05-19,0.02812,0.08308,0.57395
2025-05-20,0.02428,0.09075,0.53049
2025-05-21,0.03195,0.10418,0.51962
2025-05-22,0.02748,0.13613,0.60655
2025-05-23,0.07094,0.25182,0.90247
2025-05-24,0.16681,0.95041,2.95734
2025-05-25,0.02364,0.209,0.77209
2025-05-26,0.03195,0.1796,0.69667
2025-05-27,0.04218,0.14892,0.71329
2025-05-28,0.04665,0.1438,0.68197
2025-05-29,0.04857,0.24287,0.64298
2025-05-30,0.11057,0.37965,1.02583
2025-05-31,0.2205,1.78514,7.03703
2025-06-01,0.06135,0.28314,1.00921
2025-06-02,0.04857,0.21028,0.75227
2025-06-03,0.06647,0.15786,0.65512
2025-06-04,0.07222,0.20708,0.80213
2025-06-05,0.16937,0.26588,0.97534
2025-06-06,0.29081,0.51068,1.75893
2025-06-07,0.79446,1.75062,5.61045
2025-06-08,0.08053,0.26205,0.80277
2025-06-09,0.05752,0.17129,0.59185
2025-06-10,0.04474,0.14253,0.52282
